Stale IP,Frequency (encountered in YoDNS search)
194.12.14.163,1
178.210.170.253,64
178.210.170.254,64
185.100.84.21,24
54.251.110.33,1
162.0.227.77,6
197.96.139.79,3
162.240.159.78,6
72.249.127.240,2
103.53.192.5,3
194.63.142.190,4
185.100.84.36,24
54.37.133.232,3
185.206.123.15,14
119.46.218.201,3
13.107.24.8,2
64.4.48.8,2
64.4.48.208,6
205.213.163.100,4
144.76.189.248,1
89.19.26.162,2
3.96.70.117,3
138.128.175.130,12
204.15.248.150,2
64.26.72.61,3
104.234.179.24,4
51.79.191.174,3
75.2.118.134,410
148.113.166.121,4
213.159.5.195,4
194.67.73.80,3
194.67.73.82,3
91.217.21.1,24
195.253.64.10,1
31.220.102.255,6
123.123.123.123,2
3.38.63.248,36
13.209.109.112,36
202.44.6.57,3
107.161.187.114,12
188.120.251.104,2
200.14.207.210,3
208.109.38.85,4
194.67.73.79,4
195.253.65.2,1
91.217.20.1,24
194.67.73.81,4
200.123.177.10,3
51.83.169.123,4
187.45.181.117,2
162.214.96.185,8
173.236.96.54,2
163.247.70.25,3
193.178.43.30,6
183.101.244.176,1
14.36.26.3,1
66.115.164.114,6
43.133.82.91,5
137.83.50.129,9
193.106.196.177,1
94.198.100.11,2
133.200.173.64,10
104.19.177.121,72
104.19.178.121,72
185.24.64.200,4683
191.101.50.177,6
23.111.151.174,12
185.53.179.130,8
158.69.115.73,5
202.160.5.54,5
67.212.72.204,1
54.251.110.65,1
31.207.86.107,6
198.32.67.9,342
69.160.84.219,4
217.182.79.19,1
158.220.118.38,8
89.251.8.234,1
65.21.178.24,8
178.62.33.208,4
129.121.53.38,4
195.154.21.68,8
103.65.139.153,2
148.113.31.81,8
119.18.54.192,12
31.13.236.20,12
13.248.158.180,402
185.65.148.19,126
95.211.158.102,44
68.168.211.18,2
154.53.58.221,3
51.83.183.48,2
69.2.205.101,2
189.38.95.3,230
89.252.190.90,4
103.28.12.112,1
209.216.87.66,1
195.243.99.230,1
162.214.201.46,6
107.170.192.10,4
217.199.175.118,3
45.93.112.252,12
62.173.140.168,2
65.22.82.1,168
64.68.192.210,5
163.227.239.45,4
66.98.152.31,2
162.214.77.14,6
176.126.165.137,6
95.217.54.134,1
66.45.240.51,2
66.187.72.146,6
63.236.88.203,1
65.22.241.25,2
194.0.182.167,2
194.247.196.53,10
145.0.7.163,8
88.208.58.214,2
34.203.89.52,2
213.238.176.167,2
129.66.20.4,2
210.128.206.5,2
103.43.118.68,16
37.153.159.14,44
202.75.51.52,2
135.181.183.40,2
103.235.104.225,2
216.97.233.67,4
198.59.99.101,8
162.243.10.151,8
94.46.171.124,6
210.73.44.1,3
108.59.164.144,24
67.227.248.11,4
87.118.82.158,6
162.241.153.137,6
51.81.90.52,1
50.6.175.225,6
40.139.84.203,1
67.222.9.126,6
192.168.24.40,12
108.59.163.144,24
50.152.203.134,3
172.255.251.84,4
95.217.116.167,4
109.236.80.141,2
87.118.126.92,6
162.214.70.76,6
92.114.94.236,2
192.236.179.196,2
103.195.91.146,1
103.16.128.13,4
103.244.53.205,4
122.114.237.114,4
192.185.163.24,4
205.209.106.144,6
138.128.171.228,2
10.0.0.68,2
149.18.50.184,6
172.105.95.188,8
208.71.107.72,120
139.224.225.33,6
112.137.163.148,2
162.241.94.189,2
162.240.144.202,6
203.167.40.70,1
111.118.181.207,4
104.168.201.124,2
186.250.243.195,6
74.48.31.210,12
64.74.153.192,2
72.249.125.250,1
116.58.178.107,2
159.69.75.118,1
46.4.228.48,1
92.127.158.64,1
41.221.99.135,18
163.29.204.1,5
38.65.210.33,4
192.169.10.8,1
188.68.225.183,3
174.142.238.129,6
186.227.205.178,14
154.12.244.80,3
216.201.94.71,6
162.214.206.33,6
116.206.80.58,32
192.168.6.11,1
162.240.155.125,6
185.206.123.20,14
141.95.65.136,495
8.8.8.8,8
67.222.11.85,6
51.68.148.114,2
207.45.178.42,2
23.227.173.161,1
23.227.173.96,3
162.214.99.70,6
210.128.206.4,2
185.157.247.78,1
83.170.127.242,4
10.128.30.3,2
157.90.180.225,16
81.91.178.50,136
208.71.107.74,120
208.76.84.8,6
124.195.3.9,1
208.43.71.243,3
162.159.9.215,10
162.159.10.67,10
162.159.8.58,10
83.212.5.18,6
151.80.164.55,1
197.96.137.216,3
94.199.51.67,6
65.22.81.1,168
131.108.208.20,3
80.172.227.10,6
208.82.117.238,1
81.196.131.134,1
95.46.114.4,3
102.209.85.195,6
173.255.194.38,32
179.127.12.205,21
200.69.13.102,3
78.129.212.214,6
198.37.101.118,6
212.83.165.132,12
87.118.120.126,6
37.187.202.102,8
203.194.128.23,3
65.22.243.25,2
5.39.199.3,1
172.30.135.132,1
192.211.48.202,6
64.253.120.117,2
205.213.108.100,4
92.205.162.89,6
212.57.33.20,1
188.240.170.15,2
54.194.62.171,2
217.14.25.22,4
65.22.242.25,2
131.108.209.20,1
46.224.199.254,7
184.154.215.150,2
80.172.227.6,6
186.250.243.186,6
65.124.105.28,2
192.96.208.165,3
72.9.155.76,1
205.171.9.242,3
92.222.38.108,2
162.144.239.192,6
195.201.70.134,1
43.205.29.79,1
208.71.107.73,120
162.215.221.61,2
107.167.2.35,5
64.98.137.32,3
162.241.191.111,6
192.64.33.155,4
197.243.0.59,12
5.133.176.52,1
37.139.24.183,3
184.171.170.251,4
72.52.2.1,5
10.198.249.10,1
47.102.201.239,4
63.143.33.122,4
69.2.205.100,2
177.234.146.119,2
194.179.1.101,2
77.81.242.20,1
74.112.255.100,3
187.72.95.120,2
10.198.249.13,1
194.25.9.125,2
15.222.47.219,3
162.243.92.80,3
108.59.161.144,24
178.33.116.115,2
182.54.236.170,6
84.19.184.142,6
97.79.236.56,1
213.159.6.103,1
185.247.170.3,2
40.90.4.6,2
162.214.203.177,6
10.20.30.2,1
2a01:4f8:231:3e65::1,3
2a01:8840:4f::1,168
2001:610:188:441:145:0:7:163,5
2001:500:a8::e,934685
2001:7fe::53,934685
2600:2000:2220::144,24
2a01:8840:51::1,168
2401:5f80:2001:7::4,109
2600:2000:2240::144,24
2001:41d0:403:4c08::2205,4
2001:43f8:151:45::188,69
2a01:8840:ed::25,2
2801:1b8:10::b,934685
2a00:fbc0:1:1::d45,1
a04:2b00:13cc::1:89,2
2600:2000:2230::144,24
2a04:2b00:13cc::1:200,4683
2001:500:14:6004:ad::1,13965
2001:43f8:151:45::186,69
2a01:8840:ec::25,2
2a02:4780:75:1913::1,9
2001:500:2::c,934685
2001:503:c27::2:30,934657
2a01:4f8:1c1e:ef79::1,6
2001:500:12::d0d,934685
2001:41d0:601:1100::13a9,1
2a0b:b140:0:fe:185:216:24:59,2
2001:500:1::53,934685
2602:f9ab:2:100::a,1
2001:500:2f::f,934685
2001:500:2d::d,934685
2401:5f80:2001:5::a,44
2001:41d0:d:272a::4:4,4
2001:41d0:d:272a::3:3,4
2001:418:3f4::5,131
2001:503:ba3e::2:30,934687
2001:7fd::1,934685
2001:500:14:6016:ad::1,103
2a09:ca00:0:8000::df,1
2600:2000:2210::144,24
2a02:610:7501:1000::251,4
2a01:8840:50::1,168
2a01:5e40:3:20::163,1
2a01:8840:eb::25,2
