Stale IP,Frequency (encountered in YoDNS search)
173.245.59.10,8
119.18.48.32,4
69.160.84.219,6
213.73.89.194,14
135.236.235.233,4
65.22.83.1,160
69.65.50.192,853
107.190.138.74,12
62.254.220.141,3
95.217.229.216,1
83.169.55.10,3
217.160.113.50,3
162.214.41.19,15
66.199.174.208,4
51.158.24.199,14
13.107.160.4,4
200.123.177.10,8
10.254.12.201,2
217.195.65.25,4
23.228.222.50,1
194.85.32.18,89
185.220.193.99,1
198.41.223.18,2
62.141.58.238,1
174.138.176.2,24
104.218.55.130,24
74.50.93.254,24
172.93.101.120,24
82.94.252.120,2
108.59.163.144,32
200.196.66.29,2
158.69.115.73,1
161.232.10.1,1703
111.118.181.207,4
89.252.190.90,4
209.216.87.66,1
89.116.51.27,1
13.107.24.4,4
193.0.201.103,8
64.68.196.10,3766
120.92.120.21,157
120.92.128.236,37
88.204.134.106,1
192.168.6.11,1
119.226.201.100,2
213.92.11.36,1
40.90.4.4,4
14.140.97.19,2
133.200.173.64,1
124.195.3.9,2
205.213.108.100,3
103.230.159.196,6
208.71.107.80,10
127.0.0.1,58
199.79.61.5,1
185.136.96.200,249
162.215.217.218,9
13.107.24.8,1
104.19.178.121,12
104.19.177.121,12
195.228.155.191,4
202.157.182.142,1
65.22.71.33,10
64.251.27.100,3
192.168.24.31,12
185.254.97.200,4
193.193.193.93,8
178.33.33.199,1
34.203.89.52,2
92.222.38.108,2
185.24.64.200,8553
13.248.158.180,155
162.214.129.93,2
68.179.203.118,3
95.216.161.60,27
159.69.83.207,27
159.69.42.212,27
159.69.186.9,27
13.107.24.1,6
10.2.78.64,1
51.254.24.233,9
179.127.12.205,3
63.231.205.1,4
63.150.72.4,170
45.10.148.4,4
67.19.79.219,3
97.79.236.56,4
63.143.33.122,1
63.232.231.65,3
217.14.25.22,16
198.51.214.7,32
148.113.197.51,8
118.175.15.61,3
10.255.253.2,1
65.22.70.33,10
103.43.118.68,12
194.247.196.53,8
108.59.161.144,32
208.71.107.73,110
157.90.209.246,6
192.168.24.40,12
203.167.40.70,1
80.244.243.195,1
176.67.241.157,1
80.211.240.204,2
159.65.168.111,6
217.71.231.4,3
188.225.87.215,3
185.100.84.21,12
159.83.181.7,24
103.149.209.1,1
178.210.170.254,12
178.210.170.253,12
161.232.11.1,1703
208.71.107.74,120
10.49.8.137,2
10.49.9.137,2
192.251.239.135,1
10.1.106.25,6
162.240.159.78,6
198.41.222.254,9
75.2.118.134,159
95.211.158.102,112
157.10.157.253,1
168.95.192.34,13
45.56.78.179,2
188.68.225.183,3
45.93.112.252,4
198.108.130.10,331
64.68.192.210,4
64.68.192.10,1882
10.94.25.25,2
185.216.114.5,6
212.66.37.52,1
193.178.236.131,1
176.9.14.101,1
64.4.48.8,3
162.247.79.10,11
150.199.8.1,3
208.71.107.72,110
158.229.76.22,2
64.4.48.1,1
89.252.190.91,4
83.212.5.18,30
161.232.8.1,20
209.11.243.90,2
13.107.160.8,1
119.180.20.139,12
194.67.73.79,23
185.119.138.10,2
195.253.65.2,1
194.67.73.81,23
23.249.143.8,1
195.253.64.10,1
185.119.136.12,2
194.67.73.80,22
194.67.73.82,23
91.247.228.28,4
46.224.199.254,2
148.113.197.66,4
37.153.159.14,40
192.115.106.10,5
192.107.158.97,10
141.198.38.26,4
207.242.216.139,2
80.249.169.149,1
193.255.30.23,6
108.59.1.30,3
107.161.23.63,2
120.89.92.111,2
66.36.230.78,3
40.90.4.1,1
10.254.12.200,2
10.0.4.137,2
95.46.114.4,1
185.52.101.10,9
172.255.251.84,12
163.247.70.25,6
104.171.31.4,2
93.174.11.237,4
117.128.44.146,4
202.231.212.12,1
166.78.145.157,2
46.38.190.56,5
69.20.9.109,5
185.129.169.163,1
217.70.177.40,4
162.214.73.84,6
54.37.133.232,3
131.104.136.36,1
161.232.9.1,20
69.57.160.89,6
162.215.174.179,2
206.81.192.11,4
37.153.159.12,40
193.136.94.14,2
103.249.227.21,8
199.116.216.171,3
77.92.89.142,8
51.81.90.52,1
137.184.193.175,11
168.187.100.84,42
192.96.208.165,2
216.245.193.74,2
41.221.99.135,20
131.104.136.11,1
103.244.53.205,1
202.44.6.57,3
45.76.68.102,3
203.178.129.198,3
145.0.7.163,10
94.130.73.221,4
64.253.120.117,2
23.249.143.10,1
198.41.222.18,2
185.57.68.15,2
192.251.34.249,3
83.170.127.242,8
202.160.5.54,9
124.127.198.146,4
162.223.16.224,5
157.90.180.225,4
196.203.63.52,3
216.150.131.196,3
93.174.11.236,4
185.65.148.19,17
2001:6e8:400:ffff:1::53,5
2600:2000:2220::144,32
2401:5f80:2001:5::a,28
2001:428::5,144
2001:43f8:151:45::186,57
2600:2000:2240::144,32
2a01:8840:44::33,10
2600:2000:2210::144,32
2a02:4780:75:1913::1,24
2401:5f80:2001:7::4,55
2804:b44:a000::f,4
2a01:8840:fd::1,20
2a04:2680:8000::20,1
2a01:8840:50::1,160
2400:cb00:2049:1::c629:defe,5
2400:cb00:2049:1::a29f:1835,5
2001:1838:f001::10,2
2a0a:8dc0:a03a::53,4
2a01:8840:43::33,10
2a01:8840:fa::1,20
2a01:8840:4f::1,160
2a01:8840:51::1,160
2a01:2c0:a::2:53,4
2001:8d8:580:401:217:160:113:50,3
2a01:488:2000:c02:83:169:55:10,3
2a06:fb00:1::2:99,143
2a01:4f8:231:3e65::1,6
2001:500:14:6016:ad::1,183
2001:43f8:151:45::188,57
2600:2000:2230::144,32
2a01:8840:fc::1,20
2620:49:3::10,1871
2a01:8840:fb::1,20
2a02:610:7501:1000::251,6
2a01:8840:45::33,10
2600:1f18:7c43:fd5d:9959:dd9c:4f2:7ff5,1
2a0c:4ac0:1100:a::a,4
2001:41d0:403:4c08::2205,6
2001:610:188:441:145:0:7:163,6
2001:500:14:6004:ad::1,15340
2a04:2b00:13cc::1:200,8553
2001:250:3003:20::6,1
a04:2b00:13cc::1:89,2
