Domain Name,Inconsistent IPs,IP Record Type
ns1.imaginalo.com.co.,{'123.123.123.123'},A
bns3.hostcocoa.com.,"{'3.38.63.248', '13.209.109.112'}",A
ns8.pttplc.com.,{'202.44.6.57'},A
ns2.securexsl.com.,{'107.161.187.114'},A
ns3.multihost.ru.,{'188.120.251.104'},A
ns2.telmexla.net.co.,{'200.14.207.210'},A
ns2.houston-webhosting.com.,{'208.109.38.85'},A
ns4-cloud.nic.ru.,"{'194.67.73.79', '195.253.65.2', '91.217.20.1', '194.67.73.81'}",A
ns2.vncl.com.ar.,{'200.123.177.10'},A
ns8-l2.nic.ru.,{'91.217.21.1'},A
f1.redserverhost.com.,{'51.83.169.123'},A
ns3.servhost.com.br.,{'187.45.181.117'},A
ns2.lndcollege.co.in.,{'162.214.96.185'},A
ns2.dnn4less.com.,{'173.236.96.54'},A
ns2.gob.cl.,{'163.247.70.25'},A
dns2.complogic.pl.,{'193.178.43.30'},A
ns1.krdns.net.,"{'183.101.244.176', '14.36.26.3'}",A
ns2.wizardcoinsupply.com.,{'66.115.164.114'},A
ns3.tohosting.net.,{'43.133.82.91'},A
ns2.orkah.pro.,{'137.83.50.129'},A
ns2-cpanel.saga.tr.,{'193.106.196.177'},A
ns1.totalnet.gr.,{'94.198.100.11'},A
ns4.he.net.,{'133.200.173.64'},A
dns1.3dcart.com.,"{'104.19.177.121', '104.19.178.121'}",A
generationxyz.nic.xyz.,{'185.24.64.200'},A
ns2.zangak.am.,{'191.101.50.177'},A
ns7.rafaela.net.,{'23.111.151.174'},A
mid113.ns1.sslparking.com.,{'185.53.179.130'},A
ns2.hospedagemsegura.com.br.,{'158.69.115.73'},A
ns2.bnnic.bn.,{'202.160.5.54'},A
ns2.valtechnet.com.,{'67.212.72.204'},A
ns2.rcs-server.net.,{'54.251.110.65'},A
ns8.cloudhostingmexico.net.,{'51.81.59.45'},A
ns2.anketcepte.com.,{'31.207.86.107'},A
f2.redserverhost.com.,{'51.83.169.123'},A
mzizi.kenic.or.ke.,{'198.32.67.9'},A
ns1.businesspromotioninc.com.,{'69.160.84.219'},A
fdns5.api.net.pl.,{'217.182.79.19'},A
ns2.blitzwebdesign.com.,{'69.16.232.214'},A
s50.ultimate-solution.com.pk.,{'158.220.118.38'},A
ns1.shopfa.com.,{'89.251.8.234'},A
mid8.ns1.sslparking.com.,{'65.21.178.24'},A
ns4.securesitex.com.,{'178.62.33.208'},A
ns2.nethorizontes.com.br.,{'129.121.53.38'},A
ns1.e-monsite.com.,{'195.154.21.68'},A
ns2.privatednszone.com.,{'103.65.139.153'},A
ns1.itscloud.in.,{'148.113.31.81'},A
cns6009.bigrock.com.,{'119.18.54.192'},A
ns1.lndcollege.co.in.,{'162.214.96.185'},A
ns1.belani.host.,{'31.13.236.20'},A
ns2.securehostdns.com.,{'13.248.158.180'},A
ns2.gcloudns.com.,{'185.65.148.19'},A
ns5.bng-ns.com.,{'95.211.158.102'},A
ns1.worldstarhost.com.,{'68.168.211.18'},A
ns1.ds30.24x7wpsupport.com.,{'154.53.58.221'},A
b.ns.ragaddenge.com.,{'104.234.179.24'},A
ns1.getauto.pl.,{'51.83.183.48'},A
ns2.honeywickhosting.com.,{'69.2.205.101'},A
dns2.debarry.com.br.,{'189.38.95.3'},A
ns12.istdns.com.,{'89.252.190.90'},A
ns1.fastcloud.id.,{'103.28.12.112'},A
ns73.webmasters.com.,{'209.216.87.66'},A
sdns.lrmed.com.,{'195.243.99.230'},A
ns2.hotwireproductions.net.,{'162.214.201.46'},A
ns4.hostmanaged.com.,{'107.170.192.10'},A
ns.locallife-eye.com.,{'217.199.175.118'},A
ns4.cix.uk.,{'45.93.112.252'},A
ns1.d-ma.net.,{'62.173.140.168'},A
ns1.liveoakhosting.com.,{'50.28.60.43'},A
b0.nic.global.,{'65.22.82.1'},A
dns1.easydns.com.,{'64.68.192.210'},A
nsf2.tcp.gr.,{'127.0.0.1'},A
ns2.bditcenter.com.,{'163.227.239.45'},A
ns87.0101host.com.,{'66.98.152.31'},A
ns2.dtgii.com.,{'162.214.77.14'},A
ns6.hoster.kg.,{'176.126.165.137'},A
beta.lucky.net.,{'193.193.193.93'},A
ns3.hostireland.com.,{'95.217.54.134'},A
ns.yellowbusinesspages.com.,{'66.45.240.51'},A
ns2.anthemdns.com.,{'66.187.72.146'},A
dns1.elead.us.,{'63.236.88.203'},A
a2.nic.nra.,{'65.22.241.25'},A
ns.do-ex.com.,{'194.0.182.167'},A
ns2.cpanel.yu.net.,{'194.247.196.53'},A
ns2.itscloud.in.,{'148.113.31.81'},A
ns3.belnet.be.,{'145.0.7.163'},A
ns6.public-ns.com.,{'88.208.58.214'},A
nsf1.tcp.gr.,{'127.0.0.1'},A
ns5.pccc.com.,{'34.203.89.52'},A
ns2.bilgi-islem.net.,{'213.238.176.167'},A
asnsvr.asc.edu.,{'129.66.20.4'},A
ns2.pvj.jp.,{'210.128.206.5'},A
ns3.gov.mn.,{'103.43.118.68'},A
mid8.ns2.sslparking.com.,{'65.21.178.24'},A
ns1.ahost.uz.,{'37.153.159.14'},A
ns1552.securen.net.,{'202.75.51.52'},A
ns1.redhotfox.co.uk.,{'135.181.183.40'},A
ns2.dns2dns.com.,{'103.235.104.225'},A
ns1.jidesoft.com.,{'216.97.233.67'},A
ns1.completewebsol.com.,{'198.59.99.101'},A
ns2.hsicell.com.,{'162.243.10.151'},A
ns2.magsoft.pt.,{'94.46.171.124'},A
ns2.gzfirst.com.,{'210.73.44.1'},A
ns4.disneyinternational.net.,{'108.59.164.144'},A
ns6.everity.com.,{'67.227.248.11'},A
ns2.web.bbv-web1.de.,{'87.118.82.158'},A
ns2.masternetchile.com.,{'162.241.153.137'},A
ns74.webmasters.com.,{'51.81.90.52'},A
ns1.hsicell.com.,{'162.243.10.151'},A
ns2.ms88-corporation.com.,{'104.249.62.109'},A
ns2.srkitsolutions.com.,{'50.6.175.225'},A
dns2.elead.us.,{'40.139.84.203'},A
ns2.qamarx.com.,{'67.222.9.126'},A
kadushi.curinfo.cw.,{'192.168.24.40'},A
ns3.disneyinternational.net.,{'108.59.163.144'},A
freebsd1.kekew.info.,{'50.152.203.134'},A
ns1.fozzy.com.,{'172.255.251.84'},A
ns1.turbohost.co.mz.,{'95.217.116.167'},A
in19.indserve.com.,{'109.236.80.141'},A
ns2.server.in-mind.org.,{'87.118.126.92'},A
ns2.dreamtechmedia.com.,{'162.214.70.76'},A
ns1.frbaschet.ro.,{'92.114.94.236'},A
ns2.ileysinc.com.,{'192.236.179.196'},A
ns2.fastcloud.id.,{'103.195.91.146'},A
ns2.nitro-server.com.,{'103.16.128.13'},A
mid113.ns2.sslparking.com.,{'185.53.179.130'},A
ns2.dns-diy.net.,{'103.244.53.205'},A
support2.6bdns.com.,{'122.114.237.114'},A
ns2.belani.host.,{'31.13.236.20'},A
ns1.qisso.net.,{'192.185.163.24'},A
ns6.njangihost.com.,{'205.209.106.144'},A
ns2.ecuadorserver.net.,{'138.128.171.228'},A
ns2.lcccorp.com.,{'10.0.0.68'},A
ns2.hnetsites.com.br.,{'149.18.50.184'},A
dns1.ilimit.net.,{'172.105.95.188'},A
mdns1.fc2.com.,{'208.71.107.72'},A
dns2.6bdns.com.,{'139.224.225.33'},A
ns16-1.mysecurewebserver.com.,{'112.137.163.148'},A
ns1.securexsl.com.,{'107.161.187.114'},A
ns1.arcadigital.net.,{'162.241.94.189'},A
ns2.mwhost.com.br.,{'162.240.144.202'},A
ns20.winserver.ne.jp.,{'203.167.40.70'},A
ns13.goforhosting.com.,{'111.118.181.207'},A
ns1.ileysinc.com.,{'104.168.201.124'},A
ns2.cluster03brasil.com.,{'186.250.243.195'},A
ns2.marcomdeluxe.com.,{'74.48.31.210'},A
ns3.tektonic.net.,"{'64.74.153.192', '72.249.125.250'}",A
ns2.alta.co.jp.,{'116.58.178.107'},A
ns1.bditcenter.com.,{'163.227.239.45'},A
ns8.rifdoo.de.,"{'159.69.75.118', '46.4.228.48'}",A
ns3.sibdc.ru.,{'92.127.158.64'},A
ns5.he.net.,{'133.200.173.64'},A
chambo.sdnp.org.mw.,{'41.221.99.135'},A
aidcdns2.aidc.com.tw.,{'163.29.204.1'},A
ns1.idsdns.com.,{'38.65.210.33'},A
ns2.tru.ac.th.,{'192.169.10.8'},A
dns1.netwave.pl.,{'188.68.225.183'},A
ns2.primehostcanada.com.,{'174.142.238.129'},A
ns10.meganuvem.com.,{'186.227.205.178'},A
ns2.ds30.24x7wpsupport.com.,{'154.12.244.80'},A
ns2.joeypayroll.com.,{'216.201.94.71'},A
ns2.eldoradoimoveis.com.br.,{'162.214.206.33'},A
ns4.gov.mn.,{'116.206.80.58'},A
abai.university.,{'192.168.6.11'},A
ns2.garudaserver.site.,{'162.240.155.125'},A
ns2.bb-online.org.,{'185.206.123.20'},A
c.nic.ir.,{'141.95.65.136'},A
ns2.asysa.cl.,{'8.8.8.8'},A
bns1.hostcocoa.com.,"{'3.38.63.248', '13.209.109.112'}",A
ns2.stepmaniax.com.,{'67.222.11.85'},A
ns2.getauto.pl.,{'51.68.148.114'},A
ns1.akicreative.net.,{'207.45.178.42'},A
coruscant.netsouthern.net.,"{'23.227.173.161', '23.227.173.96'}",A
ns2.sitiosegalla.com.br.,{'162.214.99.70'},A
ns1.pvj.jp.,{'210.128.206.4'},A
ns4.bws.ovh.,{'185.157.247.78'},A
ns1.safeukdns.net.,{'83.170.127.242'},A
ric-ns2.esboces.org.,{'10.128.30.3'},A
ns2.serversmarket.gr.,{'157.90.180.225'},A
ns2.zomro.ru.,{'81.91.178.50'},A
mdns3.fc2.com.,{'208.71.107.74'},A
ns2.auditorio.com.mx.,{'208.76.84.8'},A
ns3.rumahosting.com.,{'124.195.3.9'},A
ns2.afraid.org.,{'208.43.71.243'},A
_dc-ns.11a56cf9cbd1.ewallhost.com.,"{'162.159.9.215', '162.159.10.67', '162.159.8.58'}",A
sns0.grnet.gr.,{'83.212.5.18'},A
ns2.alfa.host.,{'151.80.164.55'},A
ns2.elasticity.co.za.,{'197.96.137.216'},A
mortalsoul.23net.hu.,{'94.199.51.67'},A
a2.nic.global.,{'65.22.81.1'},A
ns.tchile.com.,{'131.108.208.20'},A
ns2.dnssaturno.com.,{'80.172.227.10'},A
ns2.clinehost.com.,{'208.82.117.238'},A
ns.altanet.ro.,{'81.196.131.134'},A
ns2.time-host.net.,{'95.46.114.4'},A
ns2.idshosting9.co.za.,{'102.209.85.195'},A
ns2.sitelutions.com.,{'173.255.194.38'},A
ns2.nameservers8.com.,{'179.127.12.205'},A
ns4.webmasters.ie.,{'200.69.13.102'},A
ns1.centos-webpanel.com.,{'127.0.0.1'},A
in01.indserve.com.,{'78.129.212.214'},A
ns2.webworkshost.com.,{'198.37.101.118'},A
ns2.tecmina.com.,{'212.83.165.132'},A
ns2.server.chess-server.net.,{'87.118.120.126'},A
ns1.expired.ardis.ru.,{'37.187.202.102'},A
ns2.onemoredns.com.,{'203.194.128.23'},A
c0.nic.nra.,{'65.22.243.25'},A
fdns1.api.net.pl.,{'5.39.199.3'},A
vm-publicdns.ieo.it.,{'172.30.135.132'},A
ns2.grohost3.com.,{'192.211.48.202'},A
ns1.anthill.net.,{'64.253.120.117'},A
dns.uw-mad.wiscnet.net.,{'205.213.108.100'},A
ns2.msader-ye.net.,{'92.205.162.89'},A
ns3.ignum.eu.,{'212.57.33.20'},A
ns2.completewebsol.com.,{'198.59.99.101'},A
ns2.sherwooddatasystems.co.uk.,{'188.240.170.15'},A
ns8.rafaela.net.,{'23.111.151.174'},A
ns100.ragesw.com.,{'72.52.158.7'},A
ns2.securesitex.com.,{'178.62.33.208'},A
ns1.connaxishosting.eu.,{'54.194.62.171'},A
ns2.gksmdns.com.,{'217.14.25.22'},A
b0.nic.nra.,{'65.22.242.25'},A
ns1.tchile.com.,{'131.108.209.20'},A
dns2.dnslineagrafica.net.,{'46.224.199.254'},A
phobos.sunucuyeri.net.,{'185.90.240.218'},A
ns1.dnn4less.com.,{'184.154.215.150'},A
ns2.dnssaturn.com.,{'80.172.227.6'},A
ns2.cluster02brasil.com.,{'186.250.243.186'},A
ns2.lldc.net.,{'65.124.105.28'},A
ns2.servdns.com.,{'192.96.208.165'},A
ns2.reliablewebs.com.,{'72.9.155.76'},A
ns1.marcomdeluxe.com.,{'74.48.31.210'},A
dca-ans-01.inet.qwest.net.,{'205.171.9.242'},A
ns2.coninfo.net.,{'92.222.38.108'},A
ns2.jornaljogoserio.com.br.,{'162.144.239.192'},A
ns7.rifdoo.de.,{'195.201.70.134'},A
ns2.rvuniversity.in.,{'43.205.29.79'},A
mdns2.fc2.com.,{'208.71.107.73'},A
ns1.g3sites.com.,{'162.215.221.61'},A
ns1.everleap.com.,{'107.167.2.35'},A
ns1.tecmina.com.,{'212.83.165.132'},A
dns2.epag.net.,{'64.98.137.32'},A
ns2.designfarmstudio.co.uk.,{'162.241.191.111'},A
ns1.kaneza.com.,"{'192.64.33.155', '197.243.0.59'}",A
secondary.spacetolet.com.,{'5.133.176.52'},A
ns2.norisp.no.,{'37.139.24.183'},A
dns1.icertified.net.,{'184.171.170.251'},A
ns2.marckdesign.net.,{'138.128.175.130'},A
ns4-l2.nic.ru.,{'91.217.20.1'},A
ns2.e-monsite.com.,{'195.154.21.68'},A
dns2.easydns.net.,{'72.52.2.1'},A
ceres.sunucuyeri.net.,{'185.90.240.218'},A
biz.thorofare.info.,{'23.94.156.253'},A
ns2.hopenetsolutions.com.,{'10.198.249.10'},A
ns12.webresultsinc.com.,{'50.28.60.43'},A
support1.6bdns.com.,{'47.102.201.239'},A
ns1.dns-diy.net.,{'63.143.33.122'},A
ns1.honeywickhosting.com.,{'69.2.205.100'},A
ns1.servhost.com.br.,{'177.234.146.119'},A
artemis.ttd.net.,{'194.179.1.101'},A
dns4.web-server-dns.com.,{'161.248.223.39'},A
dns1.grsrv.com.,{'77.81.242.20'},A
ns3.triple8.net.,{'74.112.255.100'},A
ns2.sebrae.com.br.,{'187.72.95.120'},A
bns4.hostcocoa.com.,"{'3.38.63.248', '13.209.109.112'}",A
ns1.hopenetsolutions.com.,{'10.198.249.13'},A
cns6010.bigrock.com.,{'119.18.54.192'},A
pns.dtag.de.,{'194.25.9.125'},A
ns1.aws.penega.com.,{'15.222.47.219'},A
ns2.xc.org.,{'162.243.92.80'},A
ns11.webresultsinc.com.,{'50.28.60.43'},A
ns1.disneyinternational.net.,{'108.59.161.144'},A
ns152.webempresa.eu.,{'178.33.116.115'},A
ns2.jidesoft.com.,{'216.97.233.67'},A
ns2.ichsunlinux.cc.,{'182.54.236.170'},A
ns2.server.ad-medientechnik.de.,{'84.19.184.142'},A
ns2.gvodns.com.,{'97.79.236.56'},A
ns47.purool.com.,{'213.159.6.103'},A
ns2.turbohost.co.mz.,{'95.217.116.167'},A
ns2.globalhosting.cat.,{'185.247.170.3'},A
ns1-06.azure-dns.com.,{'40.90.4.6'},A
ns2.eunomia.online.,{'162.214.203.177'},A
host2.rifdoo.de.,{'10.20.30.2'},A
ns1.dnsegypt.com.,{'2a01:4f8:231:3e65::1'},AAAA
a2.nic.global.,{'2a01:8840:4f::1'},AAAA
ns3.belnet.be.,{'2001:610:188:441:145:0:7:163'},AAAA
e.root-servers.net.,{'2001:500:a8::e'},AAAA
i.root-servers.net.,{'2001:7fe::53'},AAAA
ns2.disneyinternational.net.,{'2600:2000:2220::144'},AAAA
c0.nic.global.,{'2a01:8840:51::1'},AAAA
ns1.inet.vn.,{'2401:5f80:2001:7::4'},AAAA
ns4.disneyinternational.net.,{'2600:2000:2240::144'},AAAA
ns2.zserver.eu.,{'2001:41d0:403:4c08::2205'},AAAA
ns1.ricta.org.rw.,{'2001:43f8:151:45::188'},AAAA
c0.nic.nra.,{'2a01:8840:ed::25'},AAAA
b.root-servers.net.,{'2801:1b8:10::b'},AAAA
fdns1.api.net.pl.,{'2a00:fbc0:1:1::d45'},AAAA
b.nic.gent.,{'a04:2b00:13cc::1:89'},AAAA
ns3.disneyinternational.net.,{'2600:2000:2230::144'},AAAA
generationxyz.nic.xyz.,{'2a04:2b00:13cc::1:200'},AAAA
pch.ati.tn.,{'2001:500:14:6004:ad::1'},AAAA
ns2.ricta.org.rw.,{'2001:43f8:151:45::186'},AAAA
b0.nic.nra.,{'2a01:8840:ec::25'},AAAA
ns.us-globaldns.com.,{'2a02:4780:75:1913::1'},AAAA
c.root-servers.net.,{'2001:500:2::c'},AAAA
j.root-servers.net.,{'2001:503:c27::2:30'},AAAA
ns3.cloudaccessit.com.,{'2a01:4f8:1c1e:ef79::1'},AAAA
g.root-servers.net.,{'2001:500:12::d0d'},AAAA
fdns5.api.net.pl.,{'2001:41d0:601:1100::13a9'},AAAA
ns0.pulseheberg.net.,{'2a0b:b140:0:fe:185:216:24:59'},AAAA
h.root-servers.net.,{'2001:500:1::53'},AAAA
ns1.nuyek.com.,{'2602:f9ab:2:100::a'},AAAA
f.root-servers.net.,{'2001:500:2f::f'},AAAA
d.root-servers.net.,{'2001:500:2d::d'},AAAA
ns2.zonedns.vn.,{'2401:5f80:2001:5::a'},AAAA
dns3.easy.gr.,{'2001:41d0:d:272a::4:4'},AAAA
dns4.easy.gr.,{'2001:41d0:d:272a::3:3'},AAAA
puck.nether.net.,{'2001:418:3f4::5'},AAAA
a.root-servers.net.,{'2001:503:ba3e::2:30'},AAAA
k.root-servers.net.,{'2001:7fd::1'},AAAA
pch.nic.zm.,{'2001:500:14:6016:ad::1'},AAAA
ns4.bws.ovh.,{'2a09:ca00:0:8000::df'},AAAA
ns1.disneyinternational.net.,{'2600:2000:2210::144'},AAAA
ns2.kissthenet.net.,{'2a02:610:7501:1000::251'},AAAA
b0.nic.global.,{'2a01:8840:50::1'},AAAA
ns3.mypremiumserver.com.,{'2a01:5e40:3:20::163'},AAAA
a2.nic.nra.,{'2a01:8840:eb::25'},AAAA
