Stale IP,Frequency (encountered in YoDNS search)
173.245.59.10,16
119.18.48.32,4
69.160.84.219,12
213.73.89.194,14
135.236.235.233,4
65.22.83.1,656
69.65.50.192,2612
107.190.138.74,12
62.254.220.141,4
95.217.229.216,1
83.169.55.10,3
217.160.113.50,3
162.214.41.19,19
66.199.174.208,4
51.158.24.199,14
13.107.160.4,6
200.123.177.10,19
10.254.12.201,2
217.195.65.25,8
23.228.222.50,1
194.85.32.18,89
185.220.193.99,1
198.41.223.18,12
62.141.58.238,1
174.138.176.2,24
104.218.55.130,24
74.50.93.254,24
172.93.101.120,24
82.94.252.120,2
108.59.163.144,92
200.196.66.29,2
158.69.115.73,7
161.232.10.1,4941
111.118.181.207,18
89.252.190.90,8
209.216.87.66,3
89.116.51.27,2
13.107.24.4,6
193.0.201.103,12
64.68.196.10,3766
120.92.120.21,157
120.92.128.236,37
88.204.134.106,1
192.168.6.11,2
119.226.201.100,4
213.92.11.36,4
40.90.4.4,6
14.140.97.19,2
133.200.173.64,16
124.195.3.9,7
205.213.108.100,10
103.230.159.196,6
208.71.107.80,10
127.0.0.1,149
199.79.61.5,1
185.136.96.200,357
162.215.217.218,9
13.107.24.8,6
104.19.178.121,164
104.19.177.121,164
195.228.155.191,6
202.157.182.142,2
65.22.71.33,14
64.251.27.100,6
192.168.24.31,44
185.254.97.200,6
193.193.193.93,24
178.33.33.199,2
34.203.89.52,4
92.222.38.108,7
185.24.64.200,25860
13.248.158.180,1390
162.214.129.93,16
68.179.203.118,3
95.216.161.60,243
159.69.83.207,243
159.69.42.212,243
159.69.186.9,243
13.107.24.1,6
10.2.78.64,1
51.254.24.233,9
179.127.12.205,42
63.231.205.1,4
63.150.72.4,170
45.10.148.4,16
67.19.79.219,6
97.79.236.56,8
63.143.33.122,12
63.232.231.65,3
217.14.25.22,24
198.51.214.7,32
148.113.197.51,8
118.175.15.61,15
10.255.253.2,1
65.22.70.33,14
103.43.118.68,112
194.247.196.53,28
108.59.161.144,92
208.71.107.73,430
157.90.209.246,6
192.168.24.40,44
203.167.40.70,3
80.244.243.195,1
176.67.241.157,2
80.211.240.204,2
159.65.168.111,6
217.71.231.4,9
188.225.87.215,9
185.100.84.21,68
159.83.181.7,24
103.149.209.1,1
178.210.170.254,156
178.210.170.253,156
161.232.11.1,4941
208.71.107.74,440
10.49.8.137,2
10.49.9.137,2
192.251.239.135,3
10.1.106.25,6
162.240.159.78,12
198.41.222.254,9
75.2.118.134,1172
95.211.158.102,208
157.10.157.253,1
168.95.192.34,13
45.56.78.179,4
188.68.225.183,9
45.93.112.252,24
198.108.130.10,331
64.68.192.210,9
64.68.192.10,1882
10.94.25.25,2
185.216.114.5,15
212.66.37.52,4
193.178.236.131,4
176.9.14.101,1
64.4.48.8,8
162.247.79.10,11
150.199.8.1,11
208.71.107.72,430
158.229.76.22,2
64.4.48.1,1
89.252.190.91,8
83.212.5.18,72
161.232.8.1,29
209.11.243.90,2
13.107.160.8,6
119.180.20.139,12
194.67.73.79,35
185.119.138.10,4
195.253.65.2,2
194.67.73.81,35
23.249.143.8,1
195.253.64.10,2
185.119.136.12,4
194.67.73.80,31
194.67.73.82,32
91.247.228.28,4
46.224.199.254,17
148.113.197.66,4
37.153.159.14,344
192.115.106.10,5
192.107.158.97,10
141.198.38.26,12
207.242.216.139,3
80.249.169.149,1
193.255.30.23,6
108.59.1.30,4
107.161.23.63,3
120.89.92.111,3
66.36.230.78,6
40.90.4.1,1
10.254.12.200,2
10.0.4.137,6
95.46.114.4,8
185.52.101.10,9
172.255.251.84,32
163.247.70.25,11
104.171.31.4,4
93.174.11.237,8
117.128.44.146,4
202.231.212.12,1
166.78.145.157,2
46.38.190.56,5
69.20.9.109,5
185.129.169.163,4
217.70.177.40,7
162.214.73.84,6
54.37.133.232,9
131.104.136.36,2
161.232.9.1,29
69.57.160.89,6
162.215.174.179,2
206.81.192.11,4
37.153.159.12,344
193.136.94.14,2
103.249.227.21,8
199.116.216.171,6
77.92.89.142,16
51.81.90.52,3
137.184.193.175,11
168.187.100.84,164
192.96.208.165,6
216.245.193.74,2
41.221.99.135,92
131.104.136.11,2
103.244.53.205,12
202.44.6.57,24
45.76.68.102,9
203.178.129.198,3
145.0.7.163,34
94.130.73.221,8
64.253.120.117,6
23.249.143.10,1
198.41.222.18,12
185.57.68.15,8
192.251.34.249,3
83.170.127.242,16
202.160.5.54,38
124.127.198.146,4
162.223.16.224,5
157.90.180.225,24
196.203.63.52,29
216.150.131.196,8
93.174.11.236,8
185.65.148.19,375
2001:6e8:400:ffff:1::53,5
2600:2000:2220::144,92
2401:5f80:2001:5::a,159
2001:428::5,144
2001:43f8:151:45::186,237
2600:2000:2240::144,92
2a01:8840:44::33,14
2600:2000:2210::144,92
2a02:4780:75:1913::1,78
2401:5f80:2001:7::4,410
2804:b44:a000::f,16
2a01:8840:fd::1,29
2a04:2680:8000::20,1
2a01:8840:50::1,656
2400:cb00:2049:1::c629:defe,5
2400:cb00:2049:1::a29f:1835,5
2001:1838:f001::10,2
2a0a:8dc0:a03a::53,4
2a01:8840:43::33,14
2a01:8840:fa::1,29
2a01:8840:4f::1,656
2a01:8840:51::1,656
2a01:2c0:a::2:53,4
2001:8d8:580:401:217:160:113:50,3
2a01:488:2000:c02:83:169:55:10,3
2a06:fb00:1::2:99,143
2a01:4f8:231:3e65::1,21
2001:500:14:6016:ad::1,572
2001:43f8:151:45::188,237
2600:2000:2230::144,92
2a01:8840:fc::1,29
2620:49:3::10,1871
2a01:8840:fb::1,29
2a02:610:7501:1000::251,14
2a01:8840:45::33,14
2600:1f18:7c43:fd5d:9959:dd9c:4f2:7ff5,1
2a0c:4ac0:1100:a::a,6
2001:41d0:403:4c08::2205,18
2001:610:188:441:145:0:7:163,16
2001:500:14:6004:ad::1,60366
2a04:2b00:13cc::1:200,25860
2001:250:3003:20::6,1
a04:2b00:13cc::1:89,12
212.26.130.240,1
209.235.8.17,3
195.154.21.68,48
192.185.76.78,4
69.41.164.107,2
194.50.187.172,5
181.119.146.236,9
170.239.85.59,8
94.126.173.180,2
150.199.1.10,8
13.209.109.112,360
3.38.63.248,360
89.44.138.149,8
217.195.155.122,8
185.90.57.150,6
87.98.225.226,4
187.108.203.184,2
59.87.134.155,4
162.240.46.246,6
141.95.19.173,1
70.39.184.116,2
54.191.81.30,1
208.115.208.230,8
47.50.106.146,3
185.43.233.128,8
107.161.176.106,12
46.249.222.76,2
107.167.2.35,8
103.103.146.114,6
66.7.194.156,2
104.36.149.76,6
51.68.212.172,12
57.128.171.227,6
46.250.239.60,2
178.33.116.115,6
193.106.196.177,3
69.6.221.124,6
192.168.10.110,2
161.35.48.51,24
5.39.48.105,6
162.214.211.180,12
194.0.182.167,5
172.20.20.1,3
162.215.135.150,6
162.240.148.152,6
209.126.125.13,120
8.39.234.74,6
99.192.246.12,1
59.190.147.6,1
59.190.147.5,1
150.199.101.1,11
83.169.55.12,1
217.160.113.52,1
5.101.168.38,6
104.176.43.209,3
185.34.136.178,1
27.131.3.133,1
203.1.238.33,12
95.169.182.246,2
206.166.83.22,4
108.62.116.248,12
38.123.20.13,4
61.213.162.88,8
208.90.72.107,1
82.177.125.167,3
68.178.173.143,4
198.20.106.170,2
72.52.242.135,2
192.168.97.20,1
51.222.10.90,6
203.101.171.54,1
162.215.15.67,4
162.214.204.170,12
13.107.24.6,5
190.210.186.154,1
210.128.206.4,4
217.18.210.6,4
162.240.106.142,2
192.168.97.10,1
209.59.155.121,12
162.159.25.4,3
72.52.202.47,2
198.20.106.171,2
88.208.58.214,4
193.32.188.188,2
201.131.125.54,4
94.229.79.197,8
162.214.202.3,2
162.214.204.178,9
37.59.149.64,12
172.21.0.17,8
194.12.14.163,6
103.65.139.153,9
64.69.79.132,12
66.220.212.133,1
67.231.249.150,5
162.214.156.119,6
87.118.100.100,6
91.230.24.99,3
50.17.162.246,2
185.132.179.211,48
122.114.237.114,16
213.92.11.37,1
193.0.14.129,935344
162.215.132.193,6
121.226.243.14,11
162.215.15.55,4
172.21.0.18,8
180.101.24.9,9
191.235.173.32,2
138.128.225.53,1
136.243.154.159,2
46.249.222.75,2
72.10.172.154,32
65.21.178.24,56
168.156.9.180,2
167.86.66.131,4
150.199.199.1,8
159.65.155.154,1
85.111.67.153,6
10.0.101.51,1
208.109.245.242,2
67.222.137.18,6
148.252.241.180,2
185.42.137.111,1
193.232.146.244,1
64.91.232.25,16
64.4.48.6,5
216.205.88.21,3
64.4.48.208,9
88.255.107.73,80
185.221.174.205,6
40.90.4.208,8
70.39.251.2,4
185.34.216.121,15
66.29.147.240,6
162.214.97.159,6
203.1.238.31,12
137.118.1.29,12
162.240.48.142,6
212.8.249.60,24
37.187.202.102,16
212.92.211.202,2
87.107.73.5,2
185.43.233.181,4
62.240.110.217,10
103.150.135.64,6
129.232.223.42,6
67.225.176.132,4
162.215.8.235,6
52.57.114.204,2
23.94.156.253,16
187.108.200.74,12
5.178.3.217,2
69.28.86.18,3
184.82.116.6,4
180.181.220.180,4
116.202.219.42,4
104.219.250.218,18
207.226.173.74,4
212.87.197.29,4
184.154.215.150,4
200.80.43.102,3
208.109.241.21,2
204.44.79.253,2
190.124.46.10,6
118.88.24.13,25
23.94.166.43,2
129.121.43.197,6
216.205.88.20,3
185.136.176.247,1
144.76.221.45,1
66.29.156.22,4
107.190.138.11,2
178.62.33.208,8
66.7.214.180,2
209.151.151.240,64
45.143.162.54,6
62.240.110.218,10
137.74.45.170,6
174.138.171.174,8
180.179.213.198,1
10.128.30.2,4
209.235.8.16,3
89.108.120.128,1
66.179.95.115,2
64.176.8.189,4
162.159.27.4,3
95.169.188.47,6
192.185.31.72,3
178.33.166.50,2
150.199.178.1,8
187.108.203.185,2
69.30.232.66,12
101.99.78.102,1
172.16.95.103,4
162.211.84.91,6
8.37.228.128,2
144.76.221.42,1
66.7.214.182,2
69.30.232.69,8
162.211.84.50,6
40.160.63.66,5
92.127.158.64,6
66.220.212.132,1
142.132.252.40,18
63.147.96.1,2
103.235.104.225,4
162.240.106.46,6
103.144.33.145,16
177.234.157.34,12
172.17.0.1,2
211.234.118.50,4
211.115.83.220,2
213.238.176.167,6
148.113.166.121,8
162.215.8.51,6
162.240.164.120,6
169.48.214.129,5
69.90.62.120,2
91.237.143.195,2
129.121.37.227,6
125.63.57.120,3
144.217.30.88,6
119.9.52.35,3
172.20.101.4,1
192.185.31.69,3
155.254.16.33,6
80.172.227.10,18
74.63.251.188,2
5.101.169.184,6
63.105.204.164,6
177.11.53.21,6
91.237.143.199,2
173.236.96.54,4
204.116.57.2,2
162.215.134.77,6
89.146.248.22,1
99.192.246.120,1
104.207.143.253,14
117.53.153.58,4
138.94.223.250,4
104.249.62.109,16
184.107.149.198,6
78.110.141.70,1
87.118.120.231,6
158.250.0.62,4
172.105.95.188,16
185.112.145.12,7
162.214.154.35,3
94.23.242.162,16
122.155.0.231,2
46.250.241.180,2
176.126.165.137,30
5.133.176.52,2
70.39.184.113,2
64.176.6.183,4
172.20.20.4,3
165.166.142.50,2
39.164.210.252,2
47.102.201.239,16
10.0.101.244,1
46.202.170.134,1
212.37.22.171,4
23.111.157.90,12
129.121.43.37,6
103.11.189.189,8
170.254.3.114,1
162.214.202.32,2
116.202.67.190,2
122.248.34.123,2
95.169.183.246,2
187.16.30.116,4
162.240.147.239,6
192.185.154.113,4
169.47.103.120,5
162.240.145.93,6
162.214.167.40,6
195.13.10.226,4
62.116.190.21,4
193.86.189.132,4
163.121.15.15,6
200.6.101.9,3
45.159.251.194,12
40.90.4.6,5
50.28.40.175,4
51.254.124.30,6
163.172.15.83,2
172.20.20.3,3
91.246.36.101,2
162.215.174.165,6
180.101.24.24,10
38.123.20.15,4
10.128.30.3,4
23.150.248.78,2
69.90.62.121,2
210.128.206.5,4
13.107.160.6,5
72.52.242.132,2
142.44.148.151,4
2001:500:2d::d,1870029
2a01:5e40:3:20::163,6
2801:1b8:10::b,1870030
2001:500:2f::f,1870029
2001:7fd::1,1870029
2001:500:12::d0d,1870029
2604:a880:2:d0::a3:8001,2
2001:41d0:d:272a::3:3,26
2001:500:a8::e,1870029
2a01:a940:419:99::1000,4
2001:500:2::c,1870029
2001:503:ba3e::2:30,1870032
2001:19f0:c800:2684:5400:4ff:fe50:f9e0,4
2a01:a940:419:8f::1000,4
2a01:4f8:1c1e:ef79::1,12
2001:1b60:3:39:707:102:0:1,6
2001:41d0:d:272a::4:4,26
2600:1f13:294:2100:ec6e:9994:e8e2:b97c,3
2001:41d0:303:22b7::113,10
2a01:4f9:4a:371f:116:202:67:190,2
2a01:a500:1200:6:ff:ff:ff:ee,12
2001:503:c27::2:30,1869980
2001:718:401:6027:1::14,1
2001:7fe::53,1870029
2001:500:1::53,1870029
41.185.12.30,1
172.16.0.11,2
176.9.163.139,6
138.128.174.146,3
12.131.0.135,4
182.54.236.170,12
134.119.204.218,60
203.57.114.254,2
210.18.205.118,4
197.140.16.197,1
54.77.56.63,4
199.255.140.26,1
13.107.24.208,2
66.96.142.100,14
172.19.15.151,6
69.46.6.114,6
107.170.192.10,6
167.86.104.228,2
162.215.213.163,6
194.26.115.205,4
64.20.39.23,4
20.70.153.194,3
98.142.100.148,2
198.251.81.14,7
66.42.86.12,2
91.209.174.155,5
52.163.212.159,1
160.251.152.60,2
68.142.0.138,3
66.29.144.179,2
199.187.211.48,2
107.155.112.19,12
69.57.172.4,5
61.162.187.133,24
23.111.168.85,6
216.69.185.53,1
185.230.220.170,8
162.215.133.72,6
138.68.75.193,6
103.12.211.181,6
67.23.254.248,6
192.168.151.42,2
69.41.170.223,4
107.190.138.213,12
51.79.70.216,2
192.168.151.41,2
200.32.77.34,1
67.225.172.13,8
172.16.0.13,2
216.246.41.76,2
51.79.191.174,6
143.244.149.25,1
156.38.249.217,4
138.68.176.149,6
162.215.219.66,6
203.161.38.212,3
190.210.10.1,1
40.90.4.5,6
81.162.93.15,4
45.127.135.115,4
45.76.17.235,8
178.156.15.226,8
50.28.102.97,2
207.135.90.34,1
63.141.249.11,12
192.64.33.155,8
197.243.0.59,24
10.221.34.6,4
172.16.43.26,4
10.220.34.6,2
172.16.34.26,2
190.2.18.70,1
207.244.246.76,20
209.59.164.20,8
94.176.236.81,2
199.255.140.25,1
185.8.244.65,1
46.4.60.4,4
46.4.122.216,4
144.76.46.149,1
162.243.92.80,6
10.12.62.5,2
217.160.113.58,2
194.87.246.25,3
205.151.222.253,2
200.32.77.35,1
192.250.239.24,5
185.154.160.10,4
89.116.156.148,4
89.223.71.100,4
87.118.82.71,6
54.39.193.16,4
192.168.101.179,1
68.142.0.2,3
185.66.69.128,6
122.116.44.124,3
69.57.160.86,3
64.237.45.34,4
208.50.108.2,1
98.142.100.147,2
194.247.38.11,2
192.168.101.178,1
65.181.127.250,1
173.44.249.194,6
162.214.76.208,9
95.217.116.167,8
15.235.37.115,4
115.70.126.11,2
109.169.0.239,8
216.147.166.22,1
211.20.0.70,4
130.206.1.3,2
94.23.95.168,2
72.29.91.211,3
156.38.171.137,2
103.127.163.161,8
177.136.251.69,6
10.8.54.245,5
10.8.49.19,5
64.4.48.5,3
5.77.45.249,2
216.52.50.42,8
185.119.110.40,6
80.64.128.16,1
12.131.0.134,4
84.19.180.88,6
198.199.104.191,2
72.9.155.76,2
89.111.166.6,2
129.232.205.147,2
69.6.243.245,6
205.209.115.99,4
128.134.207.18,3
64.79.79.178,6
118.37.130.110,1
173.209.33.239,2
185.8.244.75,1
162.214.205.202,6
68.142.0.8,3
193.226.128.1,14
62.76.79.254,4
212.227.123.29,1
135.181.222.28,1
176.61.151.107,6
182.137.131.126,1
84.22.96.41,6
205.151.222.254,2
102.209.85.197,4
210.123.4.65,17
195.101.210.236,2
203.113.25.71,7
185.53.179.13,24
114.112.253.197,2
72.29.91.212,3
81.169.148.38,1
67.23.241.167,3
66.71.241.66,6
162.240.155.223,6
203.167.44.102,7
193.225.4.82,1
129.121.53.38,8
188.165.20.28,2
103.6.87.125,1
162.241.158.166,2
200.69.13.102,6
130.206.1.2,2
157.90.131.168,20
170.51.242.18,2
138.128.167.186,9
89.116.106.35,4
13.107.24.5,3
207.193.137.21,1
5.195.168.53,178
66.29.144.180,2
172.232.226.146,12
50.28.34.41,2
87.118.126.112,6
209.38.123.78,3
50.84.41.242,1
88.255.25.3,1
94.199.51.67,10
198.98.57.239,7
216.52.226.80,3
193.70.56.6,1
168.231.72.85,18
43.133.82.91,10
118.91.233.68,1
77.246.186.6,2
202.57.128.130,1
67.231.22.52,4
208.109.255.53,1
156.38.171.177,2
162.240.97.206,6
163.247.72.25,111
128.199.162.88,2
193.240.139.23,2
54.171.233.154,4
13.107.160.5,3
2a06:5b82:2070:8300::11,8
2a00:1128:0:154::3,2
2a06:5b82:2070:8300::12,8
2a05:1500:702:0:1c00:3eff:fe00:35,21
2407:44c0::23,1
69.16.232.214,8
192.100.194.6,3
178.32.164.176,3
38.210.212.36,3
162.215.212.208,24
14.96.44.46,4
103.150.191.30,3
162.240.101.243,6
162.214.78.30,2
185.41.71.96,8
178.63.189.38,16
95.169.182.236,2
185.90.240.3,5
87.118.118.155,6
172.29.253.203,2
50.28.60.43,64
184.171.243.3,4
123.123.123.124,2
161.248.223.39,4
185.90.240.218,45
198.61.57.70,4
51.81.59.45,8
162.215.11.3,2
205.171.14.195,3
210.245.120.10,1
216.255.240.26,5
216.255.242.66,7
72.52.158.7,8
135.181.183.42,2
192.185.163.240,4
10.0.0.3,2
38.103.114.175,4
162.215.133.191,12
69.6.234.211,8
101.99.81.113,4
162.215.13.175,6
92.205.166.175,3
185.145.252.60,6
94.237.41.222,2
95.169.183.236,2
68.171.211.65,2
178.33.119.2,6
146.222.120.11,3
195.130.132.17,1
211.115.80.184,2
194.63.143.190,4
201.140.115.140,1
200.77.234.101,1
37.187.158.211,3
10.128.15.208,1
161.97.156.154,4
77.41.185.84,2
54.251.110.33,1
162.0.227.77,6
197.96.139.79,3
72.249.127.240,2
103.53.192.5,3
194.63.142.190,4
144.76.189.248,1
89.19.26.162,2
3.96.70.117,3
138.128.175.130,12
204.15.248.150,2
64.26.72.61,3
104.234.179.24,4
213.159.5.195,4
31.220.102.255,6
123.123.123.123,2
107.161.187.114,12
208.109.38.85,4
51.83.169.123,4
187.45.181.117,2
162.214.96.185,8
193.178.43.30,6
183.101.244.176,1
14.36.26.3,1
66.115.164.114,6
137.83.50.129,9
94.198.100.11,2
191.101.50.177,6
23.111.151.174,12
67.212.72.204,1
54.251.110.65,1
31.207.86.107,6
217.182.79.19,1
158.220.118.38,8
148.113.31.81,8
119.18.54.192,12
31.13.236.20,12
68.168.211.18,2
154.53.58.221,3
51.83.183.48,2
69.2.205.101,2
189.38.95.3,230
103.28.12.112,1
195.243.99.230,1
162.214.201.46,6
217.199.175.118,3
163.227.239.45,4
66.98.152.31,2
162.214.77.14,6
95.217.54.134,1
66.45.240.51,2
66.187.72.146,6
63.236.88.203,1
65.22.241.25,2
202.75.51.52,2
135.181.183.40,2
216.97.233.67,4
198.59.99.101,8
162.243.10.151,8
94.46.171.124,6
67.227.248.11,4
87.118.82.158,6
162.241.153.137,6
50.6.175.225,6
40.139.84.203,1
67.222.9.126,6
109.236.80.141,2
87.118.126.92,6
162.214.70.76,6
92.114.94.236,2
192.236.179.196,2
103.195.91.146,1
103.16.128.13,4
192.185.163.24,4
205.209.106.144,6
138.128.171.228,2
10.0.0.68,2
149.18.50.184,6
139.224.225.33,6
112.137.163.148,2
162.241.94.189,2
162.240.144.202,6
104.168.201.124,2
186.250.243.195,6
74.48.31.210,12
64.74.153.192,2
72.249.125.250,1
116.58.178.107,2
159.69.75.118,1
46.4.228.48,1
163.29.204.1,5
38.65.210.33,4
192.169.10.8,1
174.142.238.129,6
186.227.205.178,14
154.12.244.80,3
216.201.94.71,6
162.214.206.33,6
162.240.155.125,6
8.8.8.8,8
67.222.11.85,6
51.68.148.114,2
207.45.178.42,2
23.227.173.161,1
23.227.173.96,3
162.214.99.70,6
185.157.247.78,1
208.76.84.8,6
208.43.71.243,3
151.80.164.55,1
197.96.137.216,3
131.108.208.20,3
208.82.117.238,1
81.196.131.134,1
102.209.85.195,6
78.129.212.214,6
198.37.101.118,6
212.83.165.132,12
87.118.120.126,6
203.194.128.23,3
65.22.243.25,2
5.39.199.3,1
172.30.135.132,1
192.211.48.202,6
92.205.162.89,6
212.57.33.20,1
188.240.170.15,2
54.194.62.171,2
65.22.242.25,2
131.108.209.20,1
80.172.227.6,6
186.250.243.186,6
65.124.105.28,2
205.171.9.242,3
162.144.239.192,6
195.201.70.134,1
43.205.29.79,1
162.215.221.61,2
64.98.137.32,3
162.241.191.111,6
184.171.170.251,4
72.52.2.1,5
10.198.249.10,1
69.2.205.100,2
177.234.146.119,2
194.179.1.101,2
77.81.242.20,1
74.112.255.100,3
187.72.95.120,2
10.198.249.13,1
194.25.9.125,2
15.222.47.219,3
84.19.184.142,6
213.159.6.103,1
185.247.170.3,2
162.214.203.177,6
10.20.30.2,1
2a01:8840:ed::25,2
2a00:fbc0:1:1::d45,1
2a01:8840:ec::25,2
2001:41d0:601:1100::13a9,1
2a0b:b140:0:fe:185:216:24:59,2
2602:f9ab:2:100::a,1
2001:418:3f4::5,131
2a09:ca00:0:8000::df,1
2a01:8840:eb::25,2
